decile,mean_ret,std_ret,ann_ret,ann_vol
1,0.007273716909548279,0.11550742392870225,0.3782332792965105,0.8329358793433842
2,0.0035464874948682034,0.07607669425772962,0.18441734973314658,0.548596844028082
3,0.00275404761144222,0.06474792744127865,0.14321047579499543,0.4669039447391041
4,0.002404640384110913,0.057869620890344586,0.12504129997376748,0.4173037708235989
5,0.0022177219436714402,0.05430046206587635,0.11532154107091488,0.39156620051980884
6,0.00180585743078439,0.05289682737144781,0.09390458640078828,0.3814444467942442
7,0.0018582666708659521,0.05663514794279406,0.0966298668850295,0.4084018598024657
8,0.0017581846973747717,0.061879946010533725,0.09142560426348813,0.44622263652784533
9,0.0014234132126843115,0.0739199999621412,0.07401748705958419,0.5330447002915925
10,0.0016506017485165183,0.11700707706526625,0.08583129092285895,0.843750031901968
